Broker Pseudonym,Contract Status Type,Entry Status,In Force Today,Inception Date,Info,Policy Reference Record ID,As if policy premium,Benchmark Net Premium,Committed RRV %,Gross Written Premium Aspen Share,Incurred Claims Aspen Share,Net Written Premium Aspen Share,Technical Adequacy %,Total Acquisition cost
Huel Wintheiser,Quote,PARTIAL,N,24-06-2020,i,037249,,,,,,,,
Jerde-Ullrich,Quote,PARTIAL,N,31-05-2013,i,019517,,,,,,,,
Jerde-Ullrich,Quote,PARTIAL,N,28-10-2013,i,020840,,,,,,,,
Jerde-Ullrich,Quote,PARTIAL,N,29-10-2013,i,020890,,,,,,,,
Jerde-Ullrich,Quote,PARTIAL,N,31-01-2014,i,021495,,,,,,,,
Jerde-Ullrich,Quote,PARTIAL,N,01-04-2014,i,022089,,,,,,,,
"Johns, Terry and Baumbach",Quote,PARTIAL,N,31-08-2014,i,023148,,,,,,,,
"Johns, Terry and Baumbach",Quote,PARTIAL,N,31-10-2014,i,023460,,,,,,,,
"Johns, Terry and Baumbach",Quote,PARTIAL,N,18-08-2015,i,026943,,,,,,,,
Jones-Willms,Quote,PARTIAL,N,31-05-2014,i,022391,,,,,,,,
Jones-Willms,Quote,PARTIAL,N,01-04-2015,i,025461,,,,,,,,
Jones-Willms,Quote,PARTIAL,N,01-05-2015,i,025730,,,,,,,,
Jones-Willms,Quote,PARTIAL,N,31-05-2015,i,025861,,,,,,,,
Jones-Willms,Quote,PARTIAL,N,11-11-2015,i,027544,,,,,,,,
Jones-Willms,Quote,PARTIAL,N,08-06-2018,i,034570,,,,,,,,
Jones-Willms,Quote,PARTIAL,N,29-06-2018,i,034670,,,,,,,,
Jones-Willms,Quote,PARTIAL,N,08-02-2019,i,035650,,,,,,,,
Jones-Willms,Quote,PARTIAL,N,22-02-2019,i,035527,,,,,,,,
Jones-Willms,Quote,PARTIAL,N,01-03-2019,i,035408,,,,,,,,
Jones-Willms,Quote,PARTIAL,N,31-03-2019,i,036176,,,,,,,,
Jones-Willms,Quote,PARTIAL,N,30-04-2019,i,036564,,,,,,,,
Jones-Willms,Quote,PARTIAL,N,01-05-2019,i,036529,,,,,,,,
Jones-Willms,Quote,PARTIAL,N,08-05-2019,i,036386,,,,,,,,
Jones-Willms,Quote,PARTIAL,N,11-05-2019,i,036601,,,,,,,,
Jones-Willms,Quote,PARTIAL,N,31-05-2019,i,036696,,,,,,,,
Kassulke-Medhurst,Quote,PARTIAL,N,30-06-2020,i,041017,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-01-2013,i,018248,,,,,,,,
Klein Group,Quote,PARTIAL,N,23-01-2013,i,018244,,,,,,,,
Klein Group,Quote,PARTIAL,N,22-02-2013,i,018781,,,,,,,,
Klein Group,Quote,PARTIAL,N,28-02-2013,i,018764,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-03-2013,i,018890,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-03-2013,i,018941,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-03-2013,i,018986,,,,,,,,
Klein Group,Quote,PARTIAL,N,15-06-2013,i,019356,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-09-2013,i,020547,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-09-2013,i,020551,,,,,,,,
Klein Group,Quote,PARTIAL,N,21-10-2013,i,020841,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-10-2013,i,020640,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-10-2013,i,020629,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-10-2013,i,020726,,,,,,,,
Klein Group,Quote,PARTIAL,N,03-11-2013,i,020488,,,,,,,,
Klein Group,Quote,PARTIAL,N,19-11-2013,i,020829,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-11-2013,i,021020,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-11-2013,i,021034,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-11-2013,i,021082,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-12-2013,i,020793,,,,,,,,
Klein Group,Quote,PARTIAL,N,02-12-2013,i,020983,,,,,,,,
Klein Group,Quote,PARTIAL,N,06-12-2013,i,021116,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-01-2014,i,020992,,,,,,,,
Klein Group,Quote,PARTIAL,N,28-02-2014,i,021804,,,,,,,,
Klein Group,Quote,PARTIAL,N,08-03-2014,i,021359,,,,,,,,
Klein Group,Quote,PARTIAL,N,22-03-2014,i,021931,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-03-2014,i,021714,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-03-2014,i,021969,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-04-2014,i,022088,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-04-2014,i,022038,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-04-2014,i,022158,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-04-2014,i,022159,,,,,,,,
Klein Group,Quote,PARTIAL,N,13-05-2014,i,022400,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-05-2014,i,022314,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-06-2014,i,022273,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-06-2014,i,022616,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-07-2014,i,022780,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-07-2014,i,022810,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-07-2014,i,022211,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-07-2014,i,022846,,,,,,,,
Klein Group,Quote,PARTIAL,N,02-08-2014,i,022852,,,,,,,,
Klein Group,Quote,PARTIAL,N,14-08-2014,i,023013,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-08-2014,i,022980,,,,,,,,
Klein Group,Quote,PARTIAL,N,09-09-2014,i,022966,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-09-2014,i,023350,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-09-2014,i,023406,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-10-2014,i,023408,,,,,,,,
Klein Group,Quote,PARTIAL,N,16-10-2014,i,023714,,,,,,,,
Klein Group,Quote,PARTIAL,N,22-10-2014,i,023891,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-10-2014,i,023679,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-11-2014,i,023912,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-11-2014,i,024038,,,,,,,,
Klein Group,Quote,PARTIAL,N,05-12-2014,i,024254,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-12-2014,i,024020,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-01-2015,i,024039,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-01-2015,i,023982,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-01-2015,i,024503,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-01-2015,i,024430,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-01-2015,i,024504,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-01-2015,i,024532,,,,,,,,
Klein Group,Quote,PARTIAL,N,16-02-2015,i,024709,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-04-2015,i,025380,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-04-2015,i,025592,,,,,,,,
Klein Group,Quote,PARTIAL,N,18-05-2015,i,025878,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-05-2015,i,024497,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-05-2015,i,025879,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-05-2015,i,025981,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-05-2015,i,025719,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-05-2015,i,025848,,,,,,,67.7,
Klein Group,Quote,PARTIAL,N,01-06-2015,i,025791,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-06-2015,i,026284,,,,,,,,
Klein Group,Quote,PARTIAL,N,24-06-2015,i,025670,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-06-2015,i,026310,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-06-2015,i,026430,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-07-2015,i,026545,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-08-2015,i,026669,,,,,,,,
Klein Group,Quote,PARTIAL,N,12-08-2015,i,026853,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-08-2015,i,027016,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-08-2015,i,026865,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-08-2015,i,027007,,,,,,,,
Klein Group,Quote,PARTIAL,N,13-09-2015,i,027187,,,,,,,,
Klein Group,Quote,PARTIAL,N,13-09-2015,i,027162,,,,,,,,
Klein Group,Quote,PARTIAL,N,15-09-2015,i,026981,,,,,,,,
Klein Group,Quote,PARTIAL,N,15-09-2015,i,026982,,,,,,,,
Klein Group,Quote,PARTIAL,N,17-09-2015,i,027226,,,,,,,,
Klein Group,Quote,PARTIAL,N,25-09-2015,i,026879,,,,,,,,
Klein Group,Quote,PARTIAL,N,25-09-2015,i,026896,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-09-2015,i,025964,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-10-2015,i,027228,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-10-2015,i,027121,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-10-2015,i,027256,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-11-2015,i,027527,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-11-2015,i,027438,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-11-2015,i,027489,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-11-2015,i,027582,,,,,,,,
Klein Group,Quote,PARTIAL,N,10-11-2015,i,027623,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-12-2015,i,027644,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-12-2015,i,027757,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-12-2015,i,027778,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-12-2015,i,027867,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-12-2015,i,028075,,,,,,,,
Klein Group,Quote,PARTIAL,N,08-12-2015,i,027858,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-12-2015,i,027629,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-12-2015,i,027814,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-01-2016,i,020727,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-01-2016,i,027947,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-01-2016,i,028280,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-01-2016,i,027504,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-02-2016,i,028194,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-03-2016,i,028144,,,,,,,,
Klein Group,Quote,PARTIAL,N,06-03-2016,i,028450,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-04-2016,i,028436,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-05-2016,i,028793,,,,,,,,
Klein Group,Quote,PARTIAL,N,23-05-2016,i,029189,,,,,,,,
Klein Group,Quote,PARTIAL,N,05-06-2016,i,029284,,,,,,,,
Klein Group,Quote,PARTIAL,N,13-06-2016,i,029367,,,,,,,,
Klein Group,Quote,PARTIAL,N,03-07-2016,i,029505,,,,,,,,
Klein Group,Quote,PARTIAL,N,09-07-2016,i,029548,,,,,,,,
Klein Group,Quote,PARTIAL,N,10-07-2016,i,029564,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-08-2016,i,029852,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-08-2016,i,029863,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-08-2016,i,029909,,,,,,,,
Klein Group,Quote,PARTIAL,N,05-08-2016,i,029773,,,,,,,,
Klein Group,Quote,PARTIAL,N,06-08-2016,i,029760,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-09-2016,i,029715,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-09-2016,i,029996,,,,,,,,
Klein Group,Quote,PARTIAL,N,05-09-2016,i,030030,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-10-2016,i,029393,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-10-2016,i,030155,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-11-2016,i,030609,,,,,,,,
Klein Group,Quote,PARTIAL,N,17-11-2016,i,030647,,,,,,,,
Klein Group,Quote,PARTIAL,N,17-11-2016,i,030648,,,,,,,,
Klein Group,Quote,PARTIAL,N,17-11-2016,i,030649,,,,,,,,
Klein Group,Quote,PARTIAL,N,20-11-2016,i,030676,,,,,,,,
Klein Group,Quote,PARTIAL,N,25-11-2016,i,030683,,,,,,,,
Klein Group,Quote,PARTIAL,N,24-12-2016,i,030692,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-12-2016,i,031104,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-12-2016,i,031175,,,,,,,,
Klein Group,Quote,PARTIAL,N,06-02-2017,i,031296,,,,,,,,
Klein Group,Quote,PARTIAL,N,23-02-2017,i,031314,,,,,,,,
Klein Group,Quote,PARTIAL,N,28-02-2017,i,031582,,,,,,,,
Klein Group,Quote,PARTIAL,N,24-03-2017,i,031347,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-03-2017,i,031315,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-04-2017,i,031945,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-04-2017,i,031990,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-04-2017,i,032021,,,,,,,,
Klein Group,Quote,PARTIAL,N,02-04-2017,i,031896,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-04-2017,i,031544,,,,,,,,
Klein Group,Quote,PARTIAL,N,20-05-2017,i,032245,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-06-2017,i,032108,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-07-2017,i,032758,,,,,,,,
Klein Group,Quote,PARTIAL,N,26-07-2017,i,032627,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-07-2017,i,032704,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-07-2017,i,032739,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-08-2017,i,032574,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-08-2017,i,032602,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-08-2017,i,032636,,,,,,,,
Klein Group,Quote,PARTIAL,N,11-08-2017,i,032868,,,,,,,,
Klein Group,Quote,PARTIAL,N,29-08-2017,i,032820,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-08-2017,i,032858,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-08-2017,i,032897,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-08-2017,i,032898,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-08-2017,i,032936,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-09-2017,i,032968,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-09-2017,i,032938,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-09-2017,i,032954,,,,,,,,
Klein Group,Quote,PARTIAL,N,13-10-2017,i,033194,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-11-2017,i,033287,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-11-2017,i,032625,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-12-2017,i,033533,,,,,,,,
Klein Group,Quote,PARTIAL,N,15-12-2017,i,033517,,,,,,,,
Klein Group,Quote,PARTIAL,N,22-12-2017,i,031235,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-12-2017,i,033629,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-12-2017,i,033750,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-12-2017,i,033583,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-01-2018,i,033363,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-03-2018,i,032367,,,,,,,,
Klein Group,Quote,PARTIAL,N,18-01-2019,i,035469,,,,,,,,
Klein Group,Quote,PARTIAL,N,18-01-2019,i,035446,,,,,,,,
Klein Group,Quote,PARTIAL,N,31-01-2019,i,035499,,,,,,,,
Klein Group,Quote,PARTIAL,N,09-02-2019,i,035373,,,,,,,,
Klein Group,Quote,PARTIAL,N,10-02-2019,i,035528,,,,,,,,
Klein Group,Quote,PARTIAL,N,12-02-2019,i,035483,,,,,,,,
Klein Group,Quote,PARTIAL,N,02-03-2019,i,035604,,,,,,,,
Klein Group,Quote,PARTIAL,N,02-03-2019,i,035613,,,,,,,,
Klein Group,Quote,PARTIAL,N,03-03-2019,i,035621,,,,,,,,
Klein Group,Quote,PARTIAL,N,14-03-2019,i,035935,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-04-2019,i,036249,,,,,,,,
Klein Group,Quote,PARTIAL,N,06-04-2019,i,035780,,,,,,,,
Klein Group,Quote,PARTIAL,N,09-04-2019,i,036375,,,,,,,,
Klein Group,Quote,PARTIAL,N,13-04-2019,i,036095,,,,,,,,
Klein Group,Quote,PARTIAL,N,18-04-2019,i,035934,,,,,,,,
Klein Group,Quote,PARTIAL,N,20-04-2019,i,035929,,,,,,,,
Klein Group,Quote,PARTIAL,N,02-05-2019,i,036326,,,,,,,,
Klein Group,Quote,PARTIAL,N,03-05-2019,i,036350,,,,,,,,
Klein Group,Quote,PARTIAL,N,12-05-2019,i,036446,,,,,,,,
Klein Group,Quote,PARTIAL,N,16-05-2019,i,036552,,,,,,,,
Klein Group,Quote,PARTIAL,N,24-05-2019,i,036550,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-06-2019,i,036626,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-06-2019,i,036242,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-06-2019,i,036506,,,,,,,,
Klein Group,Quote,PARTIAL,N,11-12-2019,i,039454,,,,,,,,
Klein Group,Quote,PARTIAL,N,06-06-2020,i,040922,,,,,,,,
Klein Group,Quote,PARTIAL,N,09-06-2020,i,037305,,,,,,,,
Klein Group,Quote,PARTIAL,N,27-06-2020,i,019686,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-06-2020,i,041009,,,,,,,,
Klein Group,Quote,PARTIAL,N,30-06-2020,i,040968,,,,,,,,
Klein Group,Quote,PARTIAL,N,01-09-2020,i,040339,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,30-10-2013,i,020853,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,01-02-2014,i,021492,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,16-03-2014,i,021829,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,09-07-2014,i,022835,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,30-08-2014,i,023114,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,31-12-2014,i,024245,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,01-01-2015,i,024184,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,01-01-2015,i,024448,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,01-04-2015,i,025183,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,06-02-2016,i,028458,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,17-03-2016,i,028545,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,08-10-2016,i,030266,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,31-10-2016,i,030552,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,01-11-2016,i,030811,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,01-11-2016,i,030112,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,18-11-2016,i,030805,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,01-03-2017,i,031583,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,31-03-2017,i,032037,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,06-07-2017,i,032697,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,16-09-2017,i,033087,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,30-09-2017,i,033039,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,01-10-2017,i,033175,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,05-10-2017,i,033137,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,14-10-2017,i,033165,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,18-10-2017,i,033232,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,18-10-2017,i,033233,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,19-10-2017,i,033180,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,20-11-2017,i,033438,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,30-11-2017,i,033432,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,31-12-2017,i,033547,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,20-01-2019,i,035415,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,22-01-2019,i,035455,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,31-01-2019,i,035481,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,31-01-2019,i,035504,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,22-02-2019,i,035513,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,05-03-2019,i,035814,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,23-03-2019,i,035994,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,05-04-2019,i,035896,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,06-04-2019,i,035997,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,11-04-2019,i,036405,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,22-04-2019,i,036226,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,31-05-2019,i,036765,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,10-06-2020,i,040982,,,,,,,,
Kling and O'Kon,Quote,PARTIAL,N,10-06-2020,i,040983,,,,,,,,
"Kozey, Streich and Deckow",Quote,PARTIAL,N,01-10-2013,i,020484,,,,,,,,
"Kozey, Streich and Deckow",Quote,PARTIAL,N,31-10-2014,i,023712,,,,,,,,
"Kozey, Streich and Deckow",Quote,PARTIAL,N,31-12-2014,i,024422,,,,,,,,
"Kozey, Streich and Deckow",Quote,PARTIAL,N,01-03-2015,i,024913,,,,,,,,
"Kozey, Streich and Deckow",Quote,PARTIAL,N,11-03-2015,i,025174,,,,,,,,
"Kozey, Streich and Deckow",Quote,PARTIAL,N,01-05-2015,i,025718,,,,,,,89.8,
"Kozey, Streich and Deckow",Quote,PARTIAL,N,10-05-2015,i,025793,,,,,,,,
"Kozey, Streich and Deckow",Quote,PARTIAL,N,17-05-2015,i,025348,,,,,,,,
"Kozey, Streich and Deckow",Quote,PARTIAL,N,01-06-2015,i,026024,,,,,,,,
"Kozey, Streich and Deckow",Quote,PARTIAL,N,01-06-2015,i,026229,,,,,,,,
"Kozey, Streich and Deckow",Quote,PARTIAL,N,25-11-2016,i,030873,,,,,,,,
"Kozey, Streich and Deckow",Quote,PARTIAL,N,31-12-2016,i,031169,,,,,,,,
Kulas Group,Quote,PARTIAL,N,25-03-2013,i,018831,,,,,,,100,
Kulas Group,Quote,PARTIAL,N,31-03-2013,i,018980,,,,,,,,
Kulas Group,Quote,PARTIAL,N,31-03-2013,i,018954,,,,,,,120.3,
Kulas Group,Quote,PARTIAL,N,15-10-2013,i,020733,,,,,,,,
Kulas Group,Quote,PARTIAL,N,31-10-2013,i,020732,,,,,,,,
Kulas Group,Quote,PARTIAL,N,30-11-2013,i,020991,,,,,,,,
Kulas Group,Quote,PARTIAL,N,31-12-2013,i,021213,,,,,,,,
Kulas Group,Quote,PARTIAL,N,31-01-2014,i,021399,,,,,,,,
Kulas Group,Quote,PARTIAL,N,31-01-2014,i,021424,,,,,,,,
Kulas Group,Quote,PARTIAL,N,31-03-2014,i,021722,,,,,,,,
Kulas Group,Quote,PARTIAL,N,31-03-2014,i,021839,,,,,,,,
Kulas Group,Quote,PARTIAL,N,31-05-2014,i,022275,,,,,,,136.5,
Kulas Group,Quote,PARTIAL,N,11-07-2014,i,022923,,,,,,,,
Kulas Group,Quote,PARTIAL,N,31-10-2014,i,023733,,,,,,,,
Kulas Group,Quote,PARTIAL,N,30-11-2014,i,024007,,,,,,,,
Kulas Group,Quote,PARTIAL,N,31-12-2014,i,024241,,,,,,,,
Kulas Group,Quote,PARTIAL,N,31-12-2014,i,024295,,,,,,,,
Kulas Group,Quote,PARTIAL,N,31-12-2014,i,024251,,,,,,,,
Kulas Group,Quote,PARTIAL,N,31-12-2014,i,024253,,,,,,,,
Kulas Group,Quote,PARTIAL,N,28-02-2015,i,024824,,,,,,,,
Kulas Group,Quote,PARTIAL,N,01-03-2015,i,024500,,,,,,,,
Kulas Group,Quote,PARTIAL,N,08-06-2015,i,026065,,,,,,,100,
Kulas Group,Quote,PARTIAL,N,31-07-2015,i,026717,,,,,,,,
Kulas Group,Quote,PARTIAL,N,22-08-2015,i,026977,,,,,,,,
Kulas Group,Quote,PARTIAL,N,07-09-2015,i,027080,,,,,,,,
Kulas Group,Quote,PARTIAL,N,28-09-2015,i,027106,,,,,,,,
Kulas Group,Quote,PARTIAL,N,30-09-2015,i,027189,,,,,,,,
Kulas Group,Quote,PARTIAL,N,01-10-2015,i,027184,,,,,,,,
Kulas Group,Quote,PARTIAL,N,01-10-2015,i,027241,,,,,,,,
Kulas Group,Quote,PARTIAL,N,01-11-2015,i,027548,,,,,,,,
Kulas Group,Quote,PARTIAL,N,30-11-2015,i,027774,,,,,,,,
Kulas Group,Quote,PARTIAL,N,01-12-2015,i,027719,,,,,,,,
Kulas Group,Quote,PARTIAL,N,01-12-2015,i,027807,,,,,,,,
Kulas Group,Quote,PARTIAL,N,31-12-2015,i,027869,,,,,,,,
Kulas Group,Quote,PARTIAL,N,31-12-2015,i,015821,,,,,,,,
Kulas Group,Quote,PARTIAL,N,01-01-2016,i,027962,,,,,,,,
Kulas Group,Quote,PARTIAL,N,21-02-2016,i,028499,,,,,,,,
Kulas Group,Quote,PARTIAL,N,29-02-2016,i,028498,,,,,,,,
Kulas Group,Quote,PARTIAL,N,01-03-2016,i,028442,,,,,,,,
Kulas Group,Quote,PARTIAL,N,17-03-2016,i,028748,,,,,,,,
Kulas Group,Quote,PARTIAL,N,01-04-2016,i,028734,,,,,,,,
Kulas Group,Quote,PARTIAL,N,01-04-2016,i,028735,,,,,,,,
Kulas Group,Quote,PARTIAL,N,01-04-2016,i,028740,,,,,,,,
Kulas Group,Quote,PARTIAL,N,01-04-2016,i,028744,,,,,,,,
Kulas Group,Quote,PARTIAL,N,01-04-2016,i,028785,,,,,,,,
Kulas Group,Quote,PARTIAL,N,01-04-2016,i,028787,,,,,,,,
Kulas Group,Quote,PARTIAL,N,01-04-2016,i,029015,,,,,,,,
Kulas Group,Quote,PARTIAL,N,01-05-2016,i,028999,,,,,,,,
Kulas Group,Quote,PARTIAL,N,08-05-2016,i,029048,,,,,,,,
Kulas Group,Quote,PARTIAL,N,01-06-2016,i,029457,,,,,,,,
Kulas Group,Quote,PARTIAL,N,01-06-2016,i,029253,,,,,,,,
Kulas Group,Quote,PARTIAL,N,02-06-2016,i,029496,,,,,,,,
Kulas Group,Quote,PARTIAL,N,12-06-2016,i,029353,,,,,,,,
